load_number,from_stop,to_stop,from_address,to_address
15200,1,2,"LOT 27 AUGER STREET, AUSTRAL, NSW 2179","20 Apiary St, AUSTRAL, NSW 2179"
15200,2,3,"20 Apiary St, AUSTRAL, NSW 2179","LOT 19-24 NOLAN PRECINCT MARIN, ORAN PARK, NSW 2570"
15201,DEPOT,1,"PUNCHBOWL, NSW 2196","20 Apiary St, AUSTRAL, NSW 2179"
15201,1,2,"20 Apiary St, AUSTRAL, NSW 2179","311 Seventh Av, AUSTRAL, NSW 2179"
15210,DEPOT,1,"PUNCHBOWL, NSW 2196","29 GREGORY STREET, YAGOONA, NSW 2199"
15210,1,2,"29 GREGORY STREET, YAGOONA, NSW 2199","18 MUNDAMATTA ST, VILLAWOOD, NSW 2163"
15210,2,3,"18 MUNDAMATTA ST, VILLAWOOD, NSW 2163","18 MUNDAMATTA ST, VILLAWOOD, NSW 2163"
15213,DEPOT,1,"PUNCHBOWL, NSW 2196","8 RONALD STREET, CARRAMAR, NSW 2163"
15213,1,2,"8 RONALD STREET, CARRAMAR, NSW 2163","8 RONALD STREET, CARRAMAR, NSW 2163"
15214,DEPOT,1,"PUNCHBOWL, NSW 2196","9 FERRIER ROAD, YAGOONA, NSW 2199"
15214,1,2,"9 FERRIER ROAD, YAGOONA, NSW 2199","66 EUCALYPTUS STREET, CRANEBROOK, NSW 2749"
17364,DEPOT,1,"BOWRAL, NSW 2576","54 ENGLISH STREET, KOGARAH, NSW 2217"
17364,1,2,"54 ENGLISH STREET, KOGARAH, NSW 2217","23 FREDERICK STREET, MIRANDA, NSW 2228"
17364,2,3,"23 FREDERICK STREET, MIRANDA, NSW 2228","59 BEAUCHAMP RD, MATRAVILLE, NSW 2036"
17364,3,4,"59 BEAUCHAMP RD, MATRAVILLE, NSW 2036","59 BEAUCHAMP RD, MATRAVILLE, NSW 2036"
17364,4,5,"59 BEAUCHAMP RD, MATRAVILLE, NSW 2036","59 BEAUCHAMP RD, MATRAVILLE, NSW 2036"
17365,DEPOT,1,"BOWRAL, NSW 2576","OBERON CONSTRUCTIONS-B, NORWEST, NSW 2153"
17365,1,2,"OBERON CONSTRUCTIONS-B, NORWEST, NSW 2153","25 LA MASCOTTE AVENUE, CONCORD, NSW 2137"
17369,DEPOT,1,"BOWRAL, NSW 2576","HORSLEY PARK THINBRICK STOCK T, HORSLEY PARK, NSW 2175"
17369,1,2,"HORSLEY PARK THINBRICK STOCK T, HORSLEY PARK, NSW 2175","18 IRENE CRESCENT, EASTWOOD, NSW 2122"
17369,2,3,"18 IRENE CRESCENT, EASTWOOD, NSW 2122","2B BANGALLA STREET, WARRAWEE, NSW 2074"
17369,3,4,"2B BANGALLA STREET, WARRAWEE, NSW 2074","12 KU-RING-GAI AVENUE, TURRAMURRA, NSW 2074"
17371,DEPOT,1,"BOWRAL, NSW 2576","888 BOURKE STREET, ZETLAND, NSW 2017"
17371,1,2,"888 BOURKE STREET, ZETLAND, NSW 2017","888 BOURKE STREET, ZETLAND, NSW 2017"
17373,DEPOT,1,"BOWRAL, NSW 2576","HANCOCK HOMES, LILYFIELD, NSW 2040"
17373,1,2,"HANCOCK HOMES, LILYFIELD, NSW 2040","15 Tressider Ave, HABERFIELD, NSW 2045"
17374,DEPOT,1,"BOWRAL, NSW 2576","60 ANNANDALE STREET, ANNANDALE, NSW 2038"
17374,1,2,"60 ANNANDALE STREET, ANNANDALE, NSW 2038","629 NEW SOUTH HEAD ROAD, ROSE BAY, NSW 2029"
17374,2,3,"629 NEW SOUTH HEAD ROAD, ROSE BAY, NSW 2029","629 NEW SOUTH HEAD ROAD, ROSE BAY, NSW 2029"
17376,DEPOT,1,"BOWRAL, NSW 2576","33 HOPE STREET, MELROSE PARK, NSW 2114"
17376,1,2,"33 HOPE STREET, MELROSE PARK, NSW 2114","47 EPPING AVENUE, EASTWOOD, NSW 2122"
17376,2,3,"47 EPPING AVENUE, EASTWOOD, NSW 2122","79 CHORLEY AVENUE, CHELTENHAM, NSW 2119"
17380,DEPOT,1,"BOWRAL, NSW 2576","277 Bong Bong St, BOWRAL, NSW 2576"
17380,1,2,"277 Bong Bong St, BOWRAL, NSW 2576","277 Bong Bong St, BOWRAL, NSW 2576"
17381,DEPOT,1,"BOWRAL, NSW 2576","59 BEAUCHAMP RD, MATRAVILLE, NSW 2036"
17381,1,2,"59 BEAUCHAMP RD, MATRAVILLE, NSW 2036","289 ANNANDALE STREET, ANNANDALE, NSW 2038"
17381,2,3,"289 ANNANDALE STREET, ANNANDALE, NSW 2038","3 SELBOURNE STREET, BURWOOD, NSW 2134"
17383,DEPOT,1,"BOWRAL, NSW 2576","27 LAWSON STREET, SANS SOUCI, NSW 2219"
17383,1,2,"27 LAWSON STREET, SANS SOUCI, NSW 2219","59 BEAUCHAMP RD, MATRAVILLE, NSW 2036"
17388,DEPOT,1,"BOWRAL, NSW 2576","14 GORDON STREET, MOSMAN, NSW 2088"
17388,1,2,"14 GORDON STREET, MOSMAN, NSW 2088","164 HARBORD ROAD, BROOKVALE, NSW 2100"
17394,DEPOT,1,"BOWRAL, NSW 2576","HORSLEY PARK PLANT 1 STOCK TRA, HORSLEY PARK, NSW 2175"
17394,1,2,"HORSLEY PARK PLANT 1 STOCK TRA, HORSLEY PARK, NSW 2175","4-12 RAILWAY STREET, LIDCOMBE, NSW 2141"
17398,DEPOT,1,"BOWRAL, NSW 2576","107 Mitchell St, CROYDON PARK, NSW 2133"
17398,1,2,"107 Mitchell St, CROYDON PARK, NSW 2133","26 ATKINSON ROAD, TAREN POINT, NSW 2229"
17403,DEPOT,1,"BOWRAL, NSW 2576","59 BEAUCHAMP RD, MATRAVILLE, NSW 2036"
17403,1,2,"59 BEAUCHAMP RD, MATRAVILLE, NSW 2036","46 Iandra St, CONCORD WEST, NSW 2138"
17406,DEPOT,1,"BOWRAL, NSW 2576","72 RADNOR ROAD, BARGO, NSW 2574"
17406,1,2,"72 RADNOR ROAD, BARGO, NSW 2574","72 RADNOR ROAD, BARGO, NSW 2574"
17406,2,3,"72 RADNOR ROAD, BARGO, NSW 2574","72 RADNOR ROAD, BARGO, NSW 2574"
17407,DEPOT,1,"BOWRAL, NSW 2576","137 Victoria St, ASHFIELD, NSW 2131"
17407,1,2,"137 Victoria St, ASHFIELD, NSW 2131","59 BEAUCHAMP RD, MATRAVILLE, NSW 2036"
17407,2,3,"59 BEAUCHAMP RD, MATRAVILLE, NSW 2036","3 NAPIER STREET, NORTH STRATHFIELD, NSW 2137"
17409,DEPOT,1,"BOWRAL, NSW 2576","ILLAWARRA STOCK TRANSFER ONLY, ALBION PARK RAIL, NSW 2527"
17409,1,2,"ILLAWARRA STOCK TRANSFER ONLY, ALBION PARK RAIL, NSW 2527","10 / 12 WESTERN AVENUE, WOLLONGONG, NSW 2500"
17410,DEPOT,1,"BOWRAL, NSW 2576","12/7 TUCKS ROAD, SEVEN HILLS, NSW 2147"
17410,1,2,"12/7 TUCKS ROAD, SEVEN HILLS, NSW 2147","50 CARRINGTON ROAD, CASTLE HILL, NSW 2154"
17410,2,3,"50 CARRINGTON ROAD, CASTLE HILL, NSW 2154","24 FIRST AVENUE, WILLOUGHBY EAST, NSW 2068"
17410,3,4,"24 FIRST AVENUE, WILLOUGHBY EAST, NSW 2068","32 FORSYTH STREET, NORTH WILLOUGHBY, NSW 2068"
17411,DEPOT,1,"BOWRAL, NSW 2576","OTC - BRICKWORKS TRADE CENTRE, HORSLEY PARK, NSW 2175"
17411,1,2,"OTC - BRICKWORKS TRADE CENTRE, HORSLEY PARK, NSW 2175","25 LA MASCOTTE AVENUE, CONCORD, NSW 2137"
17412,DEPOT,1,"BOWRAL, NSW 2576","6 ST JOHNS ROAD, BRADBURY, NSW 2560"
17412,1,2,"6 ST JOHNS ROAD, BRADBURY, NSW 2560","165 Milton St, ASHBURY, NSW 2193"
17413,DEPOT,1,"BOWRAL, NSW 2576","HORSLEY PARK THINBRICK STOCK T, HORSLEY PARK, NSW 2175"
17413,1,2,"HORSLEY PARK THINBRICK STOCK T, HORSLEY PARK, NSW 2175","24 Neville St, OATLEY, NSW 2223"
17413,2,3,"24 Neville St, OATLEY, NSW 2223","26 ATKINSON ROAD, TAREN POINT, NSW 2229"
17413,3,4,"26 ATKINSON ROAD, TAREN POINT, NSW 2229","212 ATTUNGA ROAD, YOWIE BAY, NSW 2228"
94973,DEPOT,1,"HORSLEY PARK, NSW 2175","45 MORDUE PARADE, JESMOND, NSW 2299"
94973,1,2,"45 MORDUE PARADE, JESMOND, NSW 2299","21 PARNELL PLACE, NEWCASTLE EAST, NSW 2300"
95137,DEPOT,1,"HORSLEY PARK, NSW 2175","14 - 20 GEORGES ROAD, SALAMANDER BAY, NSW 2317"
95137,1,2,"14 - 20 GEORGES ROAD, SALAMANDER BAY, NSW 2317","14-20 GEORGES ROAD, SALAMANDER BAY, NSW 2317"
95164,DEPOT,1,"HORSLEY PARK, NSW 2175","18 KANGALOON ROAD, BOWRAL, NSW 2576"
95164,1,2,"18 KANGALOON ROAD, BOWRAL, NSW 2576","69 Shepherd St, BOWRAL, NSW 2576"
95198,DEPOT,1,"HORSLEY PARK, NSW 2175","6 Dudley St, WOLLONGONG, NSW 2500"
95198,1,2,"6 Dudley St, WOLLONGONG, NSW 2500","29 PENNANT CRESCENT, BERKELEY, NSW 2506"
95214,DEPOT,1,"HORSLEY PARK, NSW 2175","1 THE QUARTERDECK MEREWETHER H, MEREWETHER HEIGHTS, NSW 2291"
95214,1,2,"1 THE QUARTERDECK MEREWETHER H, MEREWETHER HEIGHTS, NSW 2291","21 PARNELL PLACE, NEWCASTLE EAST, NSW 2300"
134071,DEPOT,1,"HORSLEY PARK, NSW 2175","22 Surveyor St, QUEANBEYAN, NSW 2620"
134071,1,2,"22 Surveyor St, QUEANBEYAN, NSW 2620","22 Surveyor St, QUEANBEYAN, NSW 2620"
134374,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 1236 ELLISON STREET, GILEAD, NSW 2560"
134374,1,2,"LOT 1236 ELLISON STREET, GILEAD, NSW 2560","LOT 424 (40) SLEEPY HOLLOW DRI, MENANGLE, NSW 2568"
134523,DEPOT,1,"HORSLEY PARK, NSW 2175","8 GROVE LANE, EASTWOOD, NSW 2122"
134523,1,2,"8 GROVE LANE, EASTWOOD, NSW 2122","79 CHORLEY AVENUE, CHELTENHAM, NSW 2119"
134525,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 2253 (44) AARON STREET, BOX HILL, NSW 2765"
134525,1,2,"LOT 2253 (44) AARON STREET, BOX HILL, NSW 2765","54 ALAMANDIN STREET, GABLES, NSW 2765"
134527,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 913 (12) SOLSTICE STREET, BOX HILL, NSW 2765"
134527,1,2,"LOT 913 (12) SOLSTICE STREET, BOX HILL, NSW 2765","37 ALMA ROAD, OAKVILLE, NSW 2765"
134528,DEPOT,1,"HORSLEY PARK, NSW 2175","9 CAPERBUSH STREET, MELONBA, NSW 2765"
134528,1,2,"9 CAPERBUSH STREET, MELONBA, NSW 2765","LOT 10 (22) URSA STREET, BOX HILL, NSW 2765"
134533,DEPOT,1,"HORSLEY PARK, NSW 2175","41A FARNELL STREET, HUNTERS HILL, NSW 2110"
134533,1,2,"41A FARNELL STREET, HUNTERS HILL, NSW 2110","41A FARNELL STREET, HUNTERS HILL, NSW 2110"
134535,DEPOT,1,"HORSLEY PARK, NSW 2175","91 MODENESE STREET AUSTRAL, AUSTRAL, NSW 2179"
134535,1,2,"91 MODENESE STREET AUSTRAL, AUSTRAL, NSW 2179","52 FERGUSON STREET, GLENFIELD, NSW 2167"
134552,DEPOT,1,"HORSLEY PARK, NSW 2175","36 BUTCHERBIRD LANE, AUSTRAL, NSW 2179"
134552,1,2,"36 BUTCHERBIRD LANE, AUSTRAL, NSW 2179","81 WILLAN DRIVE, CARTWRIGHT, NSW 2168"
134552,2,3,"81 WILLAN DRIVE, CARTWRIGHT, NSW 2168","3 KARIUS ST, GLENFIELD, NSW 2167"
134572,DEPOT,1,"HORSLEY PARK, NSW 2175","21 CHAPPAR STREET, AUSTRAL, NSW 2179"
134572,1,2,"21 CHAPPAR STREET, AUSTRAL, NSW 2179","5 Carnamah Rd, AUSTRAL, NSW 2179"
134587,DEPOT,1,"HORSLEY PARK, NSW 2175","CNR Taren Point Rd & HOLT RD, TAREN POINT, NSW 2229"
134587,1,2,"CNR Taren Point Rd & HOLT RD, TAREN POINT, NSW 2229","18A DODSON AVENUE, CRONULLA, NSW 2230"
134588,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 20 (8) MYDDLETON, FAIRFIELD, NSW 2165"
134588,1,2,"LOT 20 (8) MYDDLETON, FAIRFIELD, NSW 2165","138 WOLLONGONG ROAD, ARNCLIFFE, NSW 2205"
134590,DEPOT,1,"HORSLEY PARK, NSW 2175","3 STRUAN STREET, TAHMOOR, NSW 2573"
134590,1,2,"3 STRUAN STREET, TAHMOOR, NSW 2573","3 STRUAN STREET, TAHMOOR, NSW 2573"
134597,DEPOT,1,"HORSLEY PARK, NSW 2175","206 MOUNT KEIRA ROAD, MOUNT KEIRA, NSW 2500"
134597,1,2,"206 MOUNT KEIRA ROAD, MOUNT KEIRA, NSW 2500","60-70 WAPLES ROAD, UNANDERRA, NSW 2526"
134597,2,3,"60-70 WAPLES ROAD, UNANDERRA, NSW 2526","1 Dairy Yard Rd, HUNTLEY, NSW 2530"
134603,DEPOT,1,"HORSLEY PARK, NSW 2175","5 Carnamah Rd, AUSTRAL, NSW 2179"
134603,1,2,"5 Carnamah Rd, AUSTRAL, NSW 2179","3 GULUNGAGA STREET, AUSTRAL, NSW 2179"
134603,2,3,"3 GULUNGAGA STREET, AUSTRAL, NSW 2179","LOT 1055 (28) BUSHEL APPROACH, GILEAD, NSW 2560"
134604,DEPOT,1,"HORSLEY PARK, NSW 2175","10 PRINCES HIGHWAY, SYLVANIA, NSW 2224"
134604,1,2,"10 PRINCES HIGHWAY, SYLVANIA, NSW 2224","19 LINKS AVENUE, CRONULLA, NSW 2230"
134605,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 3 (14) GREENFINCH STREET, GREEN VALLEY, NSW 2168"
134605,1,2,"LOT 3 (14) GREENFINCH STREET, GREEN VALLEY, NSW 2168","LOT 12 (10) ROY STREET, LEPPINGTON, NSW 2179"
134608,DEPOT,1,"HORSLEY PARK, NSW 2175","7 CORRIMAL STREET, TARRAWANNA, NSW 2518"
134608,1,2,"7 CORRIMAL STREET, TARRAWANNA, NSW 2518","35A MCKENZIE AVENUE, WOLLONGONG, NSW 2500"
134613,DEPOT,1,"HORSLEY PARK, NSW 2175","50 SAPPHIRE STREET, GREYSTANES, NSW 2145"
134613,1,2,"50 SAPPHIRE STREET, GREYSTANES, NSW 2145","505 PITT STREET, HAYMARKET, NSW 2000"
134614,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 3113 (32) SHARPLES CIRCUIT, ORAN PARK, NSW 2570"
134614,1,2,"LOT 3113 (32) SHARPLES CIRCUIT, ORAN PARK, NSW 2570","LOT 3113 (32) SHARPLES CIRCUIT, ORAN PARK, NSW 2570"
134625,DEPOT,1,"HORSLEY PARK, NSW 2175","33 HOPE STREET, MELROSE PARK, NSW 2114"
134625,1,2,"33 HOPE STREET, MELROSE PARK, NSW 2114","44 COOLAWIN ROAD, NORTHBRIDGE, NSW 2063"
134635,DEPOT,1,"HORSLEY PARK, NSW 2175","324 CONCORD ROAD, CONCORD WEST, NSW 2138"
134635,1,2,"324 CONCORD ROAD, CONCORD WEST, NSW 2138","72 LIVERPOOL RD, BURWOOD HEIGHTS, NSW 2136"
134635,2,3,"72 LIVERPOOL RD, BURWOOD HEIGHTS, NSW 2136","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134635,3,4,"PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134636,DEPOT,1,"HORSLEY PARK, NSW 2175","52 OXLEY DR, BOWRAL, NSW 2576"
134636,1,2,"52 OXLEY DR, BOWRAL, NSW 2576","31 Nannas Ln, MITTAGONG, NSW 2575"
134637,DEPOT,1,"HORSLEY PARK, NSW 2175","7-9 BRIGHTON RD, PEAKHURST, NSW 2210"
134637,1,2,"7-9 BRIGHTON RD, PEAKHURST, NSW 2210","1032 FOREST ROAD, LUGARNO, NSW 2210"
134647,DEPOT,1,"HORSLEY PARK, NSW 2175","47 SYLVANIA ROAD, MIRANDA, NSW 2228"
134647,1,2,"47 SYLVANIA ROAD, MIRANDA, NSW 2228","47 SYLVANIA ROAD, MIRANDA, NSW 2228"
134650,DEPOT,1,"HORSLEY PARK, NSW 2175","27 RUBY STREET, YAGOONA, NSW 2199"
134650,1,2,"27 RUBY STREET, YAGOONA, NSW 2199","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134651,DEPOT,1,"HORSLEY PARK, NSW 2175","52 FERGUSON STREET, GLENFIELD, NSW 2167"
134651,1,2,"52 FERGUSON STREET, GLENFIELD, NSW 2167","LOT 1475 (13) BUNYIP AVENUE, GILEAD, NSW 2560"
134652,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 809 (21) LONGWOOL ROAD, LOCHINVAR, NSW 2321"
134652,1,2,"LOT 809 (21) LONGWOOL ROAD, LOCHINVAR, NSW 2321","LOT 406 #32 CAPPELLA STREET, NORTH ROTHBURY, NSW 2335"
134652,2,3,"LOT 406 #32 CAPPELLA STREET, NORTH ROTHBURY, NSW 2335","LOT 428 (35) CAPPELLA STREET, NORTH ROTHBURY, NSW 2335"
134653,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 19 #28 DULUNGRA AVE, BELMONT NORTH, NSW 2280"
134653,1,2,"LOT 19 #28 DULUNGRA AVE, BELMONT NORTH, NSW 2280","37 HIGH STREET, THE HILL, NSW 2300"
134654,DEPOT,1,"HORSLEY PARK, NSW 2175","147 GRAND PARADE, BONNELLS BAY, NSW 2264"
134654,1,2,"147 GRAND PARADE, BONNELLS BAY, NSW 2264","LOT 11/24 (98) GAMBAN ROAD, GWANDALAN, NSW 2259"
134660,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 1 #94 HOWE STREET, LAMBTON, NSW 2299"
134660,1,2,"LOT 1 #94 HOWE STREET, LAMBTON, NSW 2299","LOT 922 #22 FARMSTEAD ST, LOCHINVAR, NSW 2321"
134665,DEPOT,1,"HORSLEY PARK, NSW 2175","8 Webb St, MERRYLANDS, NSW 2160"
134665,1,2,"8 Webb St, MERRYLANDS, NSW 2160","26 St Johns Rd, AUBURN, NSW 2144"
134666,DEPOT,1,"HORSLEY PARK, NSW 2175","129 BURRANEER BAY ROAD, BURRANEER, NSW 2230"
134666,1,2,"129 BURRANEER BAY ROAD, BURRANEER, NSW 2230","29 TALOOMBI STREET, CRONULLA, NSW 2230"
134681,DEPOT,1,"HORSLEY PARK, NSW 2175","6 DANIEL STREET, GREYSTANES, NSW 2145"
134681,1,2,"6 DANIEL STREET, GREYSTANES, NSW 2145","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134681,2,3,"PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134683,DEPOT,1,"HORSLEY PARK, NSW 2175","12 FONTAINEBLEAU ST, SANS SOUCI, NSW 2219"
134683,1,2,"12 FONTAINEBLEAU ST, SANS SOUCI, NSW 2219","352 WOOLOOWARE ROAD, BURRANEER, NSW 2230"
134689,DEPOT,1,"HORSLEY PARK, NSW 2175","1 ZOE PLACE, MOUNT DRUITT, NSW 2770"
134689,1,2,"1 ZOE PLACE, MOUNT DRUITT, NSW 2770","1 ZOE PLACE, MOUNT DRUITT, NSW 2770"
134694,DEPOT,1,"HORSLEY PARK, NSW 2175","40 Meads Ave, TARRAWANNA, NSW 2518"
134694,1,2,"40 Meads Ave, TARRAWANNA, NSW 2518","Coalminer Dr, CALDERWOOD, NSW 2527"
134696,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 926 TOMERONG STREET, TULLIMBAR, NSW 2527"
134696,1,2,"LOT 926 TOMERONG STREET, TULLIMBAR, NSW 2527","3 CURLEW AVENUE, SHELL COVE, NSW 2529"
134700,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 125 (106) WEBBER CIRCUIT, BARDIA, NSW 2565"
134700,1,2,"LOT 125 (106) WEBBER CIRCUIT, BARDIA, NSW 2565","31 ARMSTRONG STREET, RABY, NSW 2566"
134701,DEPOT,1,"HORSLEY PARK, NSW 2175","ANDREWS ROAD LIDCOMBE, LIDCOMBE, NSW 2141"
134701,1,2,"ANDREWS ROAD LIDCOMBE, LIDCOMBE, NSW 2141","21 MACLEAY STREET, NORTH BONDI, NSW 2026"
134702,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 14 (26) STENLAND STREET, ROUSE HILL, NSW 2155"
134702,1,2,"LOT 14 (26) STENLAND STREET, ROUSE HILL, NSW 2155","LOT 14 (26) STENLAND STREET, ROUSE HILL, NSW 2155"
134705,DEPOT,1,"HORSLEY PARK, NSW 2175","57 HOPETOUN STREET, CAMPERDOWN, NSW 2050"
134705,1,2,"57 HOPETOUN STREET, CAMPERDOWN, NSW 2050","40 BIRRIGA ROAD, BELLEVUE HILL, NSW 2023"
134709,DEPOT,1,"HORSLEY PARK, NSW 2175","8 FOURTH AVENUE, EASTWOOD, NSW 2122"
134709,1,2,"8 FOURTH AVENUE, EASTWOOD, NSW 2122","1 BRENDON STREET, NORTH RYDE, NSW 2113"
134709,2,3,"1 BRENDON STREET, NORTH RYDE, NSW 2113","1 BRENDON STREET, NORTH RYDE, NSW 2113"
134709,3,4,"1 BRENDON STREET, NORTH RYDE, NSW 2113","6 CANBERRA STREET, EAST LINDFIELD, NSW 2070"
134710,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 2002 (37) RAVEN ROAD, GABLES, NSW 2765"
134710,1,2,"LOT 2002 (37) RAVEN ROAD, GABLES, NSW 2765","LOT 2008 (19) WAYFARER ROAD, GABLES, NSW 2765"
134710,2,3,"LOT 2008 (19) WAYFARER ROAD, GABLES, NSW 2765","LOT 1917 (85) IRRIGATOR DRIVE, NORTH RICHMOND, NSW 2754"
134711,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 5017 (54) MOLNAR CIRCUIT, ORAN PARK, NSW 2570"
134711,1,2,"LOT 5017 (54) MOLNAR CIRCUIT, ORAN PARK, NSW 2570","LOT 102 (4) CUTTRISS CRESCENT, WILTON, NSW 2571"
134712,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 2001 (35) RAVEN ROAD, GABLES, NSW 2765"
134712,1,2,"LOT 2001 (35) RAVEN ROAD, GABLES, NSW 2765","LOT 2008 (19) WAYFARER ROAD, GABLES, NSW 2765"
134713,DEPOT,1,"HORSLEY PARK, NSW 2175","16 TERRY ROAD, EASTWOOD, NSW 2122"
134713,1,2,"16 TERRY ROAD, EASTWOOD, NSW 2122","487 PACIFIC HWY, ASQUITH, NSW 2077"
134713,2,3,"487 PACIFIC HWY, ASQUITH, NSW 2077","487 PACIFIC HWY, ASQUITH, NSW 2077"
134715,DEPOT,1,"HORSLEY PARK, NSW 2175","23 HILLCREST AVENUE, MOOREBANK, NSW 2170"
134715,1,2,"23 HILLCREST AVENUE, MOOREBANK, NSW 2170","PUNCHBOWL BRICKS STOCK TRANSFE, PUNCHBOWL, NSW 2196"
134718,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 462 (18) ROWELL DRIVE, ORAN PARK, NSW 2570"
134718,1,2,"LOT 462 (18) ROWELL DRIVE, ORAN PARK, NSW 2570","LOT 462 (18) ROWELL DRIVE, ORAN PARK, NSW 2570"
134718,2,3,"LOT 462 (18) ROWELL DRIVE, ORAN PARK, NSW 2570","59 BRABHAM DRIVE, ORAN PARK, NSW 2570"
134731,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT B (105) TANGERINE STREET, FAIRFIELD EAST, NSW 2165"
134731,1,2,"LOT B (105) TANGERINE STREET, FAIRFIELD EAST, NSW 2165","LOT B (105) TANGERINE STREET, FAIRFIELD EAST, NSW 2165"
134746,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 227 OROYA CRESCENT, VINEYARD, NSW 2765"
134746,1,2,"LOT 227 OROYA CRESCENT, VINEYARD, NSW 2765","LOT 331 (26) SOUTHCOTT AVENUE, OAKVILLE, NSW 2765"
134746,2,3,"LOT 331 (26) SOUTHCOTT AVENUE, OAKVILLE, NSW 2765","LOT 332 (32) SOUTHCOTT AVENUE, OAKVILLE, NSW 2765"
134754,DEPOT,1,"HORSLEY PARK, NSW 2175","LOT 102 #15 MAXIMILLIAN DRIVE, FLORAVILLE, NSW 2280"
134754,1,2,"LOT 102 #15 MAXIMILLIAN DRIVE, FLORAVILLE, NSW 2280","2 ELDER STREET, LAMBTON, NSW 2299"
134758,DEPOT,1,"HORSLEY PARK, NSW 2175","5 SCARBOROUGH STREET, MONTEREY, NSW 2217"
134758,1,2,"5 SCARBOROUGH STREET, MONTEREY, NSW 2217","250A WOOLOOWARE ROAD, BURRANEER, NSW 2230"
134762,DEPOT,1,"HORSLEY PARK, NSW 2175","44 Caulfield Cres, ST JOHNS PARK, NSW 2176"
134762,1,2,"44 Caulfield Cres, ST JOHNS PARK, NSW 2176","5 OLD KENT ROAD, GREENACRE, NSW 2190"
